
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0221                          U9                                99   1      1   1   1 2           2 0 CWA_P               (4385-9-13)
40-0221                          U9                                99   1      2   2   1 1           1 0 CWA_N               (4385-5-13)
40-0221                          U9                                99   1      3   3   1 3           3 0 ENCODER_A           (4385-1-13)
40-0221                          U9                                99   1      4   4   1 6           6 0 CWB_P               (4385-10-13)
40-0221                          U9                                99   1      5   5   1 7           7 0 CWB_N               (4385-6-13)
40-0221                          U9                                99   1      6   6   1 5           5 0 ENCODER_B           (4385-2-13)
40-0221                          U9                                99   1      7   7   1 10         10 0 CWC_P               (4385-11-13)
40-0221                          U9                                99   1      8   8   1 9           9 0 CWC_N               (4385-7-13)
40-0221                          U9                                99   1      9   9   1 11         11 0 ENCODER_C           (4385-3-13)
40-0221                          U9                                99   1     10  10   1 14         14 0 CWD_P               (4385-12-13)
40-0221                          U9                                99   1     11  11   1 15         15 0 CWD_N               (4385-8-13)
40-0221                          U9                                99   1     12  12   1 13         13 0 ENCODER_D           (4385-4-13)
40-0221                          U9                                99   1     13  13   1 4           4 0 VCC3V3              (4211-45-13)
40-0221                          U9                                99   1     14  14   1 12         12 0 VCC3V3              (4211-45-13)
40-0221                          U9                                99   2      1   1   2 16         16 0 VCC3V3              (4211-45-13)
40-0221                          U9                                99   3      1   1   3 8           8 0 GND                 (43-1-13)
40-0227                          U3                               180   1      1   1   1 1           1 0 VCC3V3              (4211-45-13)
40-0227                          U3                               180   1      2   2   1 3           3 0 VCC2V5              (4123-2-13)
40-0227                          U3                               180   2      1   1   2 2           2 0 GND                 (43-1-13)
40-0227                          U3                               180   2      1   1   3 4           4 0 GND                 (43-1-13)
40-0310                          U1                                 1   1      1   1   1 59         59 0 GND                 (43-1-13)
40-0310                          U1                                 1   1      2   2   1 179       179 0 GND                 (43-1-13)
40-0310                          U1                                 1   1      3   3   1 2           2 0 GND                 (43-1-13)
40-0310                          U1                                 1   1      4   4   1 122       122 0 GND                 (43-1-13)
40-0310                          U1                                 1   1      5   5   1 58         58 0 VCC2V5              (4123-2-13)
40-0310                          U1                                 1   1      6   6   1 178       178 0 VCC2V5              (4123-2-13)
40-0310                          U1                                 1   1      7   7   1 3           3 0 VCC2V5              (4123-2-13)
40-0310                          U1                                 1   1      8   8   1 123       123 0 VCC2V5              (4123-2-13)
40-0310                          U1                                 1   1      9   9   1 60         60 0 XSIG011281          (4155-3-13)
40-0310                          U1                                 1   1     10  10   1 180       180 0 XSIG011282          (4155-4-13)
40-0310                          U1                                 1   1     11  11   1 1           1 0 XSIG011275          (4155-1-13)
40-0310                          U1                                 1   1     12  12   1 121       121 0 XSIG011276          (4155-2-13)
40-0310                          U1                                 1   2      1   1   2 237       237 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1   3 233       233 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1   4 228       228 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1   5 220       220 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1   6 204       204 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1   7 198       198 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1   8 190       190 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1   9 181       181 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  10 174       174 0 VCC1V2              (4123-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0310                          U1                                 1   2      1   1  11 167       167 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  12 163       163 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  13 147       147 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  14 140       140 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  15 129       129 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  16 119       119 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  17 115       115 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  18 108       108 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  19 101       101 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  20 85         85 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  21 74         74 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  22 71         71 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  23 64         64 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  24 61         61 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  25 53         53 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  26 40         40 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  27 19         19 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  28 10         10 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   2      1   1  29 4           4 0 VCC1V2              (4123-1-13)
40-0310                          U1                                 1   3      1   1  30 238       238 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  31 234       234 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  32 229       229 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  33 227       227 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  34 222       222 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  35 215       215 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  36 208       208 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  37 205       205 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  38 199       199 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  39 193       193 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  40 191       191 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  41 182       182 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  42 175       175 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  43 172       172 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  44 168       168 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  45 165       165 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  46 156       156 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  47 148       148 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  48 141       141 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  49 138       138 0 GND                 (43-1-13)
40-0310                          U1                                 1   3      1   1  50 130       130 0 GND                 (43-1-13)
