
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0103                          C43                             2030   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C43                             2030   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C44                             2029   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C44                             2029   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C45                             2028   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C45                             2028   1      2   1   1 2           2 0 GND                 (4178-22-13)
20-0073                          D1                              1640   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D1                              1640   1      2   2   1 B           1 0 UB0D0_B0            (4028-34-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0073                          D1                              1640   1      3   3   1 G           2 0 UB0D0_G0            (4028-18-13)
20-0073                          D1                              1640   1      4   4   1 R           3 0 UB0D0_R0            (4028-2-13)
20-0073                          D2                              1520   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D2                              1520   1      2   2   1 B           1 0 UB0D0_B3            (4028-35-13)
20-0073                          D2                              1520   1      3   3   1 G           2 0 UB0D0_G3            (4028-19-13)
20-0073                          D2                              1520   1      4   4   1 R           3 0 UB0D0_R3            (4028-3-13)
20-0073                          D3                              1360   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D3                              1360   1      2   2   1 B           1 0 UB0D0_B5            (4028-37-13)
20-0073                          D3                              1360   1      3   3   1 G           2 0 UB0D0_G5            (4028-21-13)
20-0073                          D3                              1360   1      4   4   1 R           3 0 UB0D0_R5            (4028-5-13)
20-0073                          D4                              1480   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D4                              1480   1      2   2   1 B           1 0 UB0D0_B8            (4028-42-13)
20-0073                          D4                              1480   1      3   3   1 G           2 0 UB0D0_G8            (4028-26-13)
20-0073                          D4                              1480   1      4   4   1 R           3 0 UB0D0_R8            (4028-10-13)
20-0073                          D5                              1320   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D5                              1320   1      2   2   1 B           1 0 UB0D0_B6            (4028-40-13)
20-0073                          D5                              1320   1      3   3   1 G           2 0 UB0D0_G6            (4028-24-13)
20-0073                          D5                              1320   1      4   4   1 R           3 0 UB0D0_R6            (4028-8-13)
20-0073                          D6                              1760   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D6                              1760   1      2   2   1 B           1 0 UB0D0_B1            (4028-33-13)
20-0073                          D6                              1760   1      3   3   1 G           2 0 UB0D0_G1            (4028-17-13)
20-0073                          D6                              1760   1      4   4   1 R           3 0 UB0D0_R1            (4028-1-13)
20-0073                          D7                              1800   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D7                              1800   1      2   2   1 B           1 0 UB0D0_B4            (4028-38-13)
20-0073                          D7                              1800   1      3   3   1 G           2 0 UB0D0_G4            (4028-22-13)
20-0073                          D7                              1800   1      4   4   1 R           3 0 UB0D0_R4            (4028-6-13)
20-0073                          D8                              1440   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D8                              1440   1      2   2   1 B           1 0 UB0D0_B9            (4028-41-13)
20-0073                          D8                              1440   1      3   3   1 G           2 0 UB0D0_G9            (4028-25-13)
20-0073                          D8                              1440   1      4   4   1 R           3 0 UB0D0_R9            (4028-9-13)
20-0073                          D9                              1400   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D9                              1400   1      2   2   1 B           1 0 UB0D0_B7            (4028-39-13)
20-0073                          D9                              1400   1      3   3   1 G           2 0 UB0D0_G7            (4028-23-13)
20-0073                          D9                              1400   1      4   4   1 R           3 0 UB0D0_R7            (4028-7-13)
20-0073                          D10                             1720   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D10                             1720   1      2   2   1 B           1 0 UB0D0_B10           (4028-44-13)
20-0073                          D10                             1720   1      3   3   1 G           2 0 UB0D0_G10           (4028-28-13)
20-0073                          D10                             1720   1      4   4   1 R           3 0 UB0D0_R10           (4028-12-13)
20-0073                          D11                             1840   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D11                             1840   1      2   2   1 B           1 0 UB0D0_B2            (4028-36-13)
20-0073                          D11                             1840   1      3   3   1 G           2 0 UB0D0_G2            (4028-20-13)
20-0073                          D11                             1840   1      4   4   1 R           3 0 UB0D0_R2            (4028-4-13)
20-0073                          D12                             1880   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D12                             1880   1      2   2   1 B           1 0 UB0D0_B11           (4028-43-13)
20-0073                          D12                             1880   1      3   3   1 G           2 0 UB0D0_G11           (4028-27-13)
20-0073                          D12                             1880   1      4   4   1 R           3 0 UB0D0_R11           (4028-11-13)
20-0073                          D13                             1920   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D13                             1920   1      2   2   1 B           1 0 UB0D0_B14           (4028-48-13)
20-0073                          D13                             1920   1      3   3   1 G           2 0 UB0D0_G14           (4028-32-13)
20-0073                          D13                             1920   1      4   4   1 R           3 0 UB0D0_R14           (4028-16-13)
20-0073                          D14                             1560   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0073                          D14                             1560   1      2   2   1 B           1 0 UB0D0_B12           (4028-46-13)
20-0073                          D14                             1560   1      3   3   1 G           2 0 UB0D0_G12           (4028-30-13)
20-0073                          D14                             1560   1      4   4   1 R           3 0 UB0D0_R12           (4028-14-13)
20-0073                          D15                             1680   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D15                             1680   1      2   2   1 B           1 0 UB0D0_B15           (4028-47-13)
20-0073                          D15                             1680   1      3   3   1 G           2 0 UB0D0_G15           (4028-31-13)
20-0073                          D15                             1680   1      4   4   1 R           3 0 UB0D0_R15           (4028-15-13)
20-0073                          D16                             1600   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D16                             1600   1      2   2   1 B           1 0 UB0D0_B13           (4028-45-13)
20-0073                          D16                             1600   1      3   3   1 G           2 0 UB0D0_G13           (4028-29-13)
20-0073                          D16                             1600   1      4   4   1 R           3 0 UB0D0_R13           (4028-13-13)
20-0073                          D17                             1655   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D17                             1655   1      2   2   1 B           1 0 UB0D0_B0            (4028-34-13)
20-0073                          D17                             1655   1      3   3   1 G           2 0 UB0D0_G0            (4028-18-13)
20-0073                          D17                             1655   1      4   4   1 R           3 0 UB0D0_R0            (4028-2-13)
20-0073                          D18                             1515   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D18                             1515   1      2   2   1 B           1 0 UB0D0_B3            (4028-35-13)
20-0073                          D18                             1515   1      3   3   1 G           2 0 UB0D0_G3            (4028-19-13)
20-0073                          D18                             1515   1      4   4   1 R           3 0 UB0D0_R3            (4028-3-13)
20-0073                          D19                             1755   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D19                             1755   1      2   2   1 B           1 0 UB0D0_B1            (4028-33-13)
20-0073                          D19                             1755   1      3   3   1 G           2 0 UB0D0_G1            (4028-17-13)
20-0073                          D19                             1755   1      4   4   1 R           3 0 UB0D0_R1            (4028-1-13)
20-0073                          D20                             1815   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D20                             1815   1      2   2   1 B           1 0 UB0D0_B4            (4028-38-13)
20-0073                          D20                             1815   1      3   3   1 G           2 0 UB0D0_G4            (4028-22-13)
20-0073                          D20                             1815   1      4   4   1 R           3 0 UB0D0_R4            (4028-6-13)
20-0073                          D21                             1835   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D21                             1835   1      2   2   1 B           1 0 UB0D0_B2            (4028-36-13)
20-0073                          D21                             1835   1      3   3   1 G           2 0 UB0D0_G2            (4028-20-13)
