=======================================================================
Xpedition Layout - Version 117.0.817.8330
=======================================================================

RELOAD CELLS

Job Directory:  H:\SPIROSE\PCB\LED_PANEL\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog71.txt

Tue Jan 16 15:02:27 2018

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Jan 16 15:02:27 2018  ---------------




---------------  RELOAD CELLS TMP  Tue Jan 16 15:02:27 2018  ---------------


D1853                           LRTBR48G                          LRTBR48G                        
D1161                           LRTBR48G                          LRTBR48G                        
D1764                           LRTBR48G                          LRTBR48G                        
D1371                           LRTBR48G                          LRTBR48G                        
D455                            LRTBR48G                          LRTBR48G                        
D1680                           LRTBR48G                          LRTBR48G                        
D1404                           LRTBR48G                          LRTBR48G                        
D506                            LRTBR48G                          LRTBR48G                        
D1690                           LRTBR48G                          LRTBR48G                        
D696                            LRTBR48G                          LRTBR48G                        
D1295                           LRTBR48G                          LRTBR48G                        
D1227                           LRTBR48G                          LRTBR48G                        
D967                            LRTBR48G                          LRTBR48G                        
D321                            LRTBR48G                          LRTBR48G                        
D1037                           LRTBR48G                          LRTBR48G                        
D591                            LRTBR48G                          LRTBR48G                        
D781                            LRTBR48G                          LRTBR48G                        
D1847                           LRTBR48G                          LRTBR48G                        
D1454                           LRTBR48G                          LRTBR48G                        
D1159                           LRTBR48G                          LRTBR48G                        
D1365                           LRTBR48G                          LRTBR48G                        
D1369                           LRTBR48G                          LRTBR48G                        
D1775                           LRTBR48G                          LRTBR48G                        
D1281                           LRTBR48G                          LRTBR48G                        
D1005                           LRTBR48G                          LRTBR48G                        
D486                            LRTBR48G                          LRTBR48G                        
D1291                           LRTBR48G                          LRTBR48G                        
D317                            LRTBR48G                          LRTBR48G                        
D24                             LRTBR48G                          LRTBR48G                        
D270                            LRTBR48G                          LRTBR48G                        
D400                            LRTBR48G                          LRTBR48G                        
D867                            LRTBR48G                          LRTBR48G                        
D568                            LRTBR48G                          LRTBR48G                        
D449                            LRTBR48G                          LRTBR48G                        
D212                            LRTBR48G                          LRTBR48G                        
D402                            LRTBR48G                          LRTBR48G                        
D1450                           LRTBR48G                          LRTBR48G                        
D1055                           LRTBR48G                          LRTBR48G                        
D982                            LRTBR48G                          LRTBR48G                        
D823                            LRTBR48G                          LRTBR48G                        
D624                            LRTBR48G                          LRTBR48G                        
D1376                           LRTBR48G                          LRTBR48G                        
D1279                           LRTBR48G                          LRTBR48G                        
D745                            LRTBR48G                          LRTBR48G                        
D107                            LRTBR48G                          LRTBR48G                        
D1289                           LRTBR48G                          LRTBR48G                        
D297                            LRTBR48G                          LRTBR48G                        
D1797                           LRTBR48G                          LRTBR48G                        
D380                            LRTBR48G                          LRTBR48G                        
D468                            LRTBR48G                          LRTBR48G                        
D169                            LRTBR48G                          LRTBR48G                        
D93                             LRTBR48G                          LRTBR48G                        
D870                            LRTBR48G                          LRTBR48G                        
D192                            LRTBR48G                          LRTBR48G                        
D382                            LRTBR48G                          LRTBR48G                        
D1448                           LRTBR48G                          LRTBR48G                        
D772                            LRTBR48G                          LRTBR48G                        
D603                            LRTBR48G                          LRTBR48G                        
D424                            LRTBR48G                          LRTBR48G                        
D225                            LRTBR48G                          LRTBR48G                        
D864                            LRTBR48G                          LRTBR48G                        
D1900                           LRTBR48G                          LRTBR48G                        
D346                            LRTBR48G                          LRTBR48G                        
D1908                           LRTBR48G                          LRTBR48G                        
D1398                           LRTBR48G                          LRTBR48G                        
D1832                           LRTBR48G                          LRTBR48G                        
D471                            LRTBR48G                          LRTBR48G                        
D1738                           LRTBR48G                          LRTBR48G                        
D1644                           LRTBR48G                          LRTBR48G                        
D949                            LRTBR48G                          LRTBR48G                        
D373                            LRTBR48G                          LRTBR48G                        
D583                            LRTBR48G                          LRTBR48G                        
D1864                           LRTBR48G                          LRTBR48G                        
D1868                           LRTBR48G                          LRTBR48G                        
D465                            LRTBR48G                          LRTBR48G                        
D1501                           LRTBR48G                          LRTBR48G                        
D1686                           LRTBR48G                          LRTBR48G                        
D1910                           LRTBR48G                          LRTBR48G                        
D1914                           LRTBR48G                          LRTBR48G                        
D1816                           LRTBR48G                          LRTBR48G                        
D39                             LRTBR48G                          LRTBR48G                        
D1699                           LRTBR48G                          LRTBR48G                        
D510                            LRTBR48G                          LRTBR48G                        
D610                            LRTBR48G                          LRTBR48G                        
D1433                           LRTBR48G                          LRTBR48G                        
D1536                           LRTBR48G                          LRTBR48G                        
D1740                           LRTBR48G                          LRTBR48G                        
D1245                           LRTBR48G                          LRTBR48G                        
D1049                           LRTBR48G                          LRTBR48G                        
D1554                           LRTBR48G                          LRTBR48G                        
D204                            LRTBR48G                          LRTBR48G                        
D1465                           LRTBR48G                          LRTBR48G                        
D1870                           LRTBR48G                          LRTBR48G                        
D994                            LRTBR48G                          LRTBR48G                        
D1683                           LRTBR48G                          LRTBR48G                        
D1287                           LRTBR48G                          LRTBR48G                        
D1511                           LRTBR48G                          LRTBR48G                        
D1792                           LRTBR48G                          LRTBR48G                        
D1515                           LRTBR48G                          LRTBR48G                        
D1417                           LRTBR48G                          LRTBR48G                        
D41                             LRTBR48G                          LRTBR48G                        
D50                             LRTBR48G                          LRTBR48G                        
D59                             LRTBR48G                          LRTBR48G                        
D490                            LRTBR48G                          LRTBR48G                        
D590                            LRTBR48G                          LRTBR48G                        
D1034                           LRTBR48G                          LRTBR48G                        
D1137                           LRTBR48G                          LRTBR48G                        
D1341                           LRTBR48G                          LRTBR48G                        
D769                            LRTBR48G                          LRTBR48G                        
D1051                           LRTBR48G                          LRTBR48G                        
D1155                           LRTBR48G                          LRTBR48G                        
D184                            LRTBR48G                          LRTBR48G                        
D1066                           LRTBR48G                          LRTBR48G                        
D1471                           LRTBR48G                          LRTBR48G                        
D1875                           LRTBR48G                          LRTBR48G                        
D1102                           LRTBR48G                          LRTBR48G                        
D1284                           LRTBR48G                          LRTBR48G                        
D1906                           LRTBR48G                          LRTBR48G                        
D1509                           LRTBR48G                          LRTBR48G                        
D1393                           LRTBR48G                          LRTBR48G                        
D886                            LRTBR48G                          LRTBR48G                        
D48                             LRTBR48G                          LRTBR48G                        
D61                             LRTBR48G                          LRTBR48G                        
D111                            LRTBR48G                          LRTBR48G                        
D211                            LRTBR48G                          LRTBR48G                        
D708                            LRTBR48G                          LRTBR48G                        
D858                            LRTBR48G                          LRTBR48G                        
D1339                           LRTBR48G                          LRTBR48G                        
D811                            LRTBR48G                          LRTBR48G                        
D971                            LRTBR48G                          LRTBR48G                        
D802                            LRTBR48G                          LRTBR48G                        
D1658                           LRTBR48G                          LRTBR48G                        
D833                            LRTBR48G                          LRTBR48G                        
D1469                           LRTBR48G                          LRTBR48G                        
D1476                           LRTBR48G                          LRTBR48G                        
D615                            LRTBR48G                          LRTBR48G                        
D4                              LRTBR48G                          LRTBR48G                        
D1507                           LRTBR48G                          LRTBR48G                        
D995                            LRTBR48G                          LRTBR48G                        
D15                             LRTBR48G                          LRTBR48G                        
D1116                           LRTBR48G                          LRTBR48G                        
D1018                           LRTBR48G                          LRTBR48G                        
D1618                           LRTBR48G                          LRTBR48G                        
D1919                           LRTBR48G                          LRTBR48G                        
D1624                           LRTBR48G                          LRTBR48G                        
D191                            LRTBR48G                          LRTBR48G                        
D688                            LRTBR48G                          LRTBR48G                        
D459                            LRTBR48G                          LRTBR48G                        
D978                            LRTBR48G                          LRTBR48G                        
D791                            LRTBR48G                          LRTBR48G                        
D572                            LRTBR48G                          LRTBR48G                        
D782                            LRTBR48G                          LRTBR48G                        
D1660                           LRTBR48G                          LRTBR48G                        
D434                            LRTBR48G                          LRTBR48G                        
D1072                           LRTBR48G                          LRTBR48G                        
D1077                           LRTBR48G                          LRTBR48G                        
D595                            LRTBR48G                          LRTBR48G                        
D1903                           LRTBR48G                          LRTBR48G                        
D895                            LRTBR48G                          LRTBR48G                        
D1112                           LRTBR48G                          LRTBR48G                        
D816                            LRTBR48G                          LRTBR48G                        
D1020                           LRTBR48G                          LRTBR48G                        
D1620                           LRTBR48G                          LRTBR48G                        
D1522                           LRTBR48G                          LRTBR48G                        
D1225                           LRTBR48G                          LRTBR48G                        
D72                             LRTBR48G                          LRTBR48G                        
D82                             LRTBR48G                          LRTBR48G                        
